Actual_Fault_ID,Predicted_Fault_ID,Confidence
0,0,0.9999248
0,0,0.99991775
0,0,0.9996754
0,2,0.43226957
0,0,0.99839526
0,2,0.43226957
0,0,0.9994406
0,0,0.9984049
0,0,0.99966025
0,0,0.99960953
0,0,0.9976788
0,0,0.99988043
0,2,0.43226957
0,0,0.9995814
0,0,0.9996356
0,2,0.43226957
0,0,0.99961436
0,0,0.9977906
0,2,0.43226957
0,0,0.99982494
0,0,0.99964404
0,0,0.9997689
0,0,0.99968565
0,2,0.43226957
0,2,0.43226957
0,2,0.43226957
0,0,0.9998479
0,0,0.9998877
0,0,0.9991227
0,0,0.9995479
1,1,1.0
1,1,1.0
1,1,0.99999774
1,1,0.99999297
1,1,0.9999999
1,1,0.9999522
1,1,0.9999987
1,1,0.9983364
1,1,0.9999565
1,1,1.0
1,1,0.99999785
1,1,0.9999671
1,1,0.99999976
1,1,0.9999478
1,1,0.99998856
1,1,0.99954456
1,1,1.0
1,1,0.9987575
1,1,0.9999715
1,1,1.0
1,1,0.999997
1,1,0.99371463
1,1,0.9994005
1,1,1.0
1,1,0.9982431
1,1,0.9999913
1,1,0.99999917
1,1,0.99998987
1,1,1.0
1,1,0.9999999
2,2,0.98833036
2,2,0.43226957
2,2,0.9703829
2,2,0.43226957
2,2,0.43226957
2,2,0.43226957
2,2,0.97290546
2,2,0.95026565
2,2,0.43226957
2,2,0.43226957
2,2,0.43226957
2,2,0.969204
2,2,0.43226957
2,2,0.43226957
2,2,0.43226957
2,2,0.43226957
2,2,0.43226957
2,2,0.99082655
2,2,0.43226957
2,2,0.43226957
2,2,0.9905246
2,2,0.43226957
2,2,0.98999804
2,2,0.43226957
2,2,0.43226957
2,2,0.9795615
2,2,0.43226957
2,2,0.43226957
2,2,0.43226957
2,2,0.43226957
3,2,0.43226957
3,3,0.9962239
3,2,0.43226957
3,2,0.43226957
3,2,0.43226957
3,3,0.9988471
3,2,0.43226957
3,3,0.9977325
3,2,0.43226957
3,3,0.99856514
3,2,0.43226957
3,2,0.43226957
3,3,0.9973617
3,2,0.43226957
3,3,0.99893516
3,2,0.43226957
3,3,0.9933761
3,2,0.43226957
3,3,0.9985512
3,3,0.99800795
3,3,0.9989304
3,3,0.99531174
3,2,0.43226957
3,3,0.9974903
3,2,0.43226957
3,3,0.9989378
3,3,0.99833703
3,2,0.43226957
3,2,0.43226957
3,3,0.9988556
4,4,1.0
4,4,1.0
4,4,1.0
4,4,0.9999993
4,4,0.99996746
4,4,0.99999356
4,4,0.95568734
4,4,0.9999242
4,4,1.0
4,4,0.9999683
4,4,0.99994934
4,4,0.9999684
4,4,0.988518
4,4,0.9999707
4,4,1.0
4,4,0.999998
4,4,1.0
4,4,1.0
4,4,1.0
4,4,0.9999771
4,4,1.0
4,4,0.9999887
4,4,1.0
4,4,1.0
4,4,0.99978215
4,4,0.9999999
4,4,0.9999784
4,4,0.99999464
4,4,1.0
4,4,0.99990714
5,2,0.43226957
5,5,0.98752314
5,5,0.97851115
5,2,0.43226957
5,2,0.43226957
5,5,0.9893078
5,5,0.980942
5,5,0.99071807
5,5,0.9805853
5,5,0.9770198
5,2,0.43226957
5,5,0.98972017
5,2,0.43226957
5,5,0.9735487
5,5,0.96298933
5,5,0.99096864
5,5,0.97390807
5,5,0.9817409
5,5,0.9694117
5,5,0.78556293
5,5,0.9880183
5,5,0.72127396
5,5,0.9746934
5,5,0.9749154
5,5,0.9911685
5,5,0.99106055
5,5,0.9890525
5,5,0.97857827
5,5,0.98936903
5,5,0.89935356
6,6,0.99998796
6,6,0.99999964
6,6,0.99999833
6,6,0.9999926
6,6,0.9999995
6,6,0.9997447
6,6,0.98390746
6,6,0.999997
6,6,1.0
6,6,0.99999905
6,6,0.9999919
6,6,0.99993837
6,6,0.99994385
6,6,0.9982659
6,6,0.9999864
6,6,0.9980762
6,6,0.99994063
6,6,0.9962369
6,6,0.999902
6,6,0.99910957
6,6,0.9999349
6,6,0.9999882
6,6,0.9990343
6,5,0.8620579
6,6,0.9972474
6,6,0.9999906
6,6,0.99999297
6,6,0.9999541
6,6,0.9999968
6,6,0.99863476
