0.1313,-3.2872,-3.4811,-0.4445,3.2413,3.4701,3.0894,3.3886,0.0404,-3.4867,-3.4856,-0.3257,-3.6203,-0.5832,3.2647,3.2939,0.1547,-3.3506,0.0
0.1067,-3.2952,-3.4246,-0.4157,3.2296,3.4027,3.1196,3.3403,0.0785,-3.2163,-3.5585,-0.3604,-3.6209,-0.3593,3.3017,3.5408,0.0996,-3.4235,0.0
0.306,-6.7693,-7.2301,-0.6532,6.7784,7.1702,6.6385,7.1681,0.3447,-6.7671,-7.3659,-0.8243,-7.2931,-0.7617,6.8056,7.1946,0.4944,-6.7664,0.0
0.2413,-1.069,-0.3949,-0.3949,3.1653,3.4808,3.1187,3.6788,-3.3051,-3.3051,-3.597,-0.4207,-3.6655,-2.8567,3.4607,3.4607,0.2479,-3.3466,0.0
0.0511,-2.2129,-2.3486,-0.2962,2.2135,2.3249,2.0905,2.2832,0.0091,-2.3626,-2.3937,-0.274,-2.453,-0.2781,2.1598,2.3367,0.0785,-2.3019,0.0
0.7943,-7.923,-9.0139,-0.8977,7.675,8.6145,7.7721,8.5849,7.3212,-7.8157,-8.6102,-1.0562,-8.7165,-1.1151,1.5585,8.4087,0.8186,-7.7897,0.0
0.0894,-1.4108,-1.5638,-0.2976,1.216,1.5039,1.3291,1.5378,0.0997,-1.3842,-1.5977,-0.2772,-1.604,-0.2509,1.4139,1.4308,-0.1483,-1.4854,0.0
0.1823,-3.403,-3.6385,-0.498,3.2027,3.4782,3.2781,3.3817,0.1412,-3.4355,-3.6075,-0.3804,-3.6996,-0.4142,3.406,3.5337,0.1418,-3.369,0.0
-0.0143,-1.4393,-1.5896,-0.242,1.3741,1.5778,1.2375,1.4419,-0.0235,-1.5353,-1.5536,-0.2083,-1.6921,-0.2336,1.338,1.4553,-0.0495,-1.4643,0.0
0.2178,-3.3127,-3.5457,-0.2987,3.2882,3.4915,3.1432,3.4381,0.1502,-3.289,-3.5237,-0.4454,-3.5258,-0.4219,3.2293,3.4434,0.1387,-3.2385,0.0
0.119,-0.8562,-0.2234,-0.2234,1.3549,1.4808,1.2501,1.6451,-1.3869,-1.3869,-1.4925,-0.2867,-1.6095,-0.8883,1.4811,1.4811,0.1017,-1.417,0.0
0.4487,-6.1804,-6.5364,-0.4208,5.9316,6.4668,5.8475,6.3928,0.2832,-6.0747,-6.6577,-0.6599,-6.5866,-0.5011,6.0322,6.5419,0.288,-6.0091,0.0
0.5971,-8.7408,-9.3886,-0.7911,8.6489,9.2268,8.2305,9.184,0.7067,-8.5068,-9.4113,-0.915,-9.4166,-0.724,8.5525,9.1278,0.5897,-8.8543,0.0
0.1284,-3.3337,-3.5747,-0.4268,3.1913,3.4061,3.1536,3.4094,0.067,-3.2906,-3.5719,-0.4668,-3.5439,-0.3518,3.1752,3.5145,0.2169,-3.3193,0.0
0.0055,-3.2007,-3.611,-0.2974,3.1825,3.5228,3.1098,3.5151,0.2255,-3.3044,-3.571,-0.3986,-3.5538,-0.4446,3.1581,3.4842,0.2344,-3.2482,0.0
0.6568,-3.2718,-0.7419,-0.7419,8.3099,9.1121,8.282,9.691,-8.5688,-8.5688,-9.3436,-0.7731,-9.2238,-6.6807,9.2176,9.2176,0.6985,-8.5321,0.0
0.0721,-3.3048,-3.5112,-0.3084,3.2187,3.429,3.1002,3.3982,0.1799,-3.2758,-3.5496,-0.4108,-3.659,-0.3604,3.2788,3.5016,0.191,-3.262,0.0
0.6767,-8.9094,-9.5981,-0.6699,8.7601,9.4654,8.5374,9.5113,0.6115,-9.0189,-9.6622,-0.9511,-9.5988,-0.9496,8.9031,9.5004,0.5886,-8.8112,0.0
0.2244,-0.1989,-0.3882,-0.3882,3.2015,3.4975,3.1603,3.3767,-3.3168,-3.3168,-3.5826,-0.3904,-3.6262,-3.4408,3.472,3.472,0.1764,-3.3333,0.0
0.1379,-3.9926,-4.3281,-0.3022,3.9416,4.2685,3.9588,4.2106,0.2123,-3.9933,-4.231,-0.4337,-4.2951,-0.4236,3.7425,4.1994,0.296,-4.0496,0.0
0.2889,-7.1777,-7.7382,-0.5472,7.0552,7.491,7.0344,7.4847,0.5374,-7.115,-7.7523,-0.7888,-7.5411,-0.7125,6.8871,7.521,0.375,-7.1351,0.0
0.1072,-2.5693,-2.8047,-0.3431,2.5554,2.7372,2.4358,2.7325,0.1065,-2.6949,-2.8062,-0.392,-2.8686,-0.2774,2.5407,2.746,0.0948,-2.7772,0.0
0.1598,-3.3035,-3.5509,-0.2761,3.18,3.4872,3.1557,3.4165,0.0409,-3.329,-3.5943,-0.3559,-3.64,-0.4419,3.1961,3.4662,0.0379,-3.3478,0.0
0.39,-5.2092,-5.581,-0.4848,4.9998,5.4204,5.0493,5.2823,0.3104,-5.1055,-5.5392,-0.3876,-5.5483,-0.4578,5.0133,5.462,0.2443,-5.2122,0.0
0.4112,-5.3129,-5.6519,-0.5501,5.3649,5.658,5.2027,5.5504,0.2467,-5.405,-5.7877,-0.6743,-5.7943,-0.4972,5.2909,5.7285,0.1676,-5.3304,0.0
0.3043,-9.0065,-9.5282,-0.7928,8.6671,9.5499,8.8642,9.3581,0.553,-8.8752,-9.6509,-1.1024,-9.5789,-0.6836,8.8976,9.4076,0.6736,-8.9033,0.0
0.2832,-5.1691,-5.5787,-0.4346,5.0133,5.4813,4.9359,5.4726,0.2086,-5.2047,-5.6661,-0.6091,-5.5433,-0.515,5.0921,5.3802,0.3918,-5.0881,0.0
0.1428,-3.2509,-3.5771,-0.5393,3.19,3.4356,3.2444,3.4458,0.1532,-3.2159,-3.3777,-0.3294,-3.6134,-0.3515,3.1161,3.2871,-0.0491,-3.45,0.0
0.0197,-1.506,-1.7355,-0.265,1.3863,1.6275,1.4211,1.5981,-0.042,-1.6332,-1.7949,-0.3292,-1.6908,-0.2526,1.3419,1.594,0.015,-1.5566,0.0
0.048,-1.7704,-1.866,-0.2896,1.6803,1.7469,1.5781,1.8229,0.1341,-1.6646,-1.8366,-0.3265,-1.9941,-0.2749,1.7468,1.7784,0.0339,-1.8304,0.0
-0.3083,-4.1459,-4.7657,-0.6847,-0.2298,-0.29,4.6985,4.7724,0.5499,-3.8707,-2.0244,1.8095,-4.9113,-0.912,3.81,4.4695,2.1069,-1.815,1.0
-0.3953,-4.1955,-4.752,-0.687,-0.2001,-0.1924,4.9984,4.6998,0.46,-4.1776,-1.96,1.9239,-5.018,-0.9636,4.0341,4.4681,2.0875,-1.9319,1.0
-0.306,-4.1924,-4.7216,-0.5377,-0.311,-0.2009,5.0377,4.9453,0.2922,-3.9675,-2.0428,2.0173,-5.0922,-0.8836,4.2696,4.4562,1.9688,-1.9336,1.0
-0.2299,-1.9202,-2.1564,-0.343,-0.2302,-0.3173,2.2466,2.1286,0.1273,-1.7276,-0.8287,0.8721,-2.1924,-0.5103,1.6871,2.0249,0.9327,-0.8487,1.0
-0.3721,-10.5649,-12.1483,-1.7984,-0.0369,-0.0581,13.3432,12.4,1.2453,-10.6936,-5.4999,5.1224,-13.372,-2.4241,10.6991,12.0333,5.7717,-5.1364,1.0
-0.436,-6.1888,-6.7694,-0.8995,-0.2036,-0.1011,7.1686,7.07,0.7508,-5.851,-2.888,2.8272,-7.4578,-0.9074,5.8867,6.4292,2.9721,-2.845,1.0
-0.3264,-6.8334,-7.4028,-0.9116,-0.2505,-0.0647,7.837,7.4969,0.7557,-6.3781,-3.3547,3.1279,-7.9182,-1.0527,6.3892,6.9869,3.3187,-3.0618,1.0
-0.3266,-1.8317,-2.1905,-0.3258,-0.199,-0.2995,2.2303,2.1718,0.0057,-1.7437,-0.8063,0.8613,-2.1724,-0.3464,1.7209,2.084,0.915,-0.8256,1.0
